,country,status,gdp,plastic_usage_per_cative,mean of income,tax,population,coeff_prod_before,coeff_prod_after,prod_state,coeff_cons_before,coeff_cons_after,cons_state,full_coeff_prod,full_coeff_cons
39,China,BX,1288,561.6666667,13.80191667,-1,1.371354167,[0.92605494],[],None,[0.92244938],[],None,[0.969089647592172],[0.9826397829665667]
40,Czech Republic,X,23419,1084.583333,31.4955,-1,10539.08333,[0.35008274],[0.41443333],Ban/Tax,[0.71030141],[0.35477499],Ban/Tax,[0.604937726234434],[0.6327512375985269]
41,Egypt,X,2331,160.9166667,12.019,-1,87308.83333,[],[0.64826538],None,[],[0.58582039],None,[0.6669120726800214],[0.6537395064236894]
42,Ethiopia,X,244,17.08333333,1.709583333,-1,89184.41667,[0.],[],None,[0.48047534],[],None,[-443.8970613370607],[0.49982438709876265]
43,France,B,37062,864.5833333,41.79575,-1,415412,[0.93050237],[0.61437295],Ban/Tax,[0.90575338],[0.65907652],Ban/Tax,[0.914053170750002],[0.9033387684145406]
44,Germany,TX,42136,933.6666667,46.35108333,0.22,82004.16667,[0.54509197],[],None,[0.6240444],[],None,[0.7853187554840071],[0.7775990334354794]
45,Ghana,X,2254,71.16666667,4.21075,-1,26649.91667,[0.17189097],[],None,[0.42862566],[],None,[0.15250886517089704],[0.491566278585067]
46,Great Britain,BX,41098,501.1666667,40.81491667,-1,64766.83333,[0.46691539],[],None,[0.46238673],[],None,[0.6555002788309116],[0.7051247223234094]
47,Hungary,X,16075,710,26.03941667,-1,9880.916667,[0.4229049],[],None,[0.46172827],[],None,[0.6186102631053524],[0.5888511223082558]
48,India,B,2072,,6.1925,-1,,[0.91306236],[0.50379815],Ban/Tax,[0.9336593],[0.41648366],Ban/Tax,[0.8253693452785329],[0.07460970925275467]
49,Jordan,T,4231,328.9166667,12.18683333,0.08,6768.833333,[0.12774023],[0.04431676],Ban/Tax,[0.62970121],[0.29261755],Ban/Tax,[0.08077961707497255],[0.5013321165808662]
50,Kenya,B,1633,75.83333333,3.205083333,-1,43822.08333,[0.16914648],[0.09319215],Ban/Tax,[0.68685206],[0.3450179],Ban/Tax,[0.15638620802679704],[0.5414095188537539]
